Panama,2021-01-31,8772,8772,0,2021-01-31,591,
Poland,2021-01-31,1176904,976367,200537,2021-01-31,616,
Portugal,2021-01-31,336771,268386,68385,2021-01-31,620,
Qatar,2021-01-31,50000,0,0,2021-01-31,634,
Romania,2021-01-31,691415,585219,106196,2021-01-31,642,
Russia,2021-01-31,1000000,1000000,0,2021-01-31,643,
Saudi Arabia,2021-01-31,391643,0,0,2021-01-31,682,
Serbia,2021-01-31,437380,437380,0,2021-01-31,688,
Seychelles,2021-01-31,30861,30861,0,2021-01-31,690,
Singapore,2021-01-31,155050,155000,50,2021-01-31,702,
Slovakia,2021-01-31,149215,139679,9536,2021-01-31,703,
Slovenia,2021-01-31,81369,54721,26648,2021-01-31,705,
Spain,2021-01-31,1609261,1251369,357892,2021-01-31,724,
Sri Lanka,2021-01-31,59154,59154,0,2021-01-31,144,
Sweden,2021-01-31,330007,294433,35574,2021-01-31,752,
Switzerland,2021-01-31,314952,0,0,2021-01-31,756,
Turkey,2021-01-31,1986237,0,0,2021-01-31,792,
United Arab Emirates,2021-01-31,3334162,836568,250000,2021-01-31,784,
United Kingdom,2021-01-31,9790576,9296367,494209,2021-01-31,826,
US,2021-01-31,31123299,25201143,5657142,2021-01-31,840,
World,2021-01-31,99979058,59505865,11090244,2021-01-31,,
Afghanistan,2021-02-28,8200,8200,0,2021-02-28,4,
Albania,2021-02-28,10135,6073,655,2021-02-28,8,
Andorra,2021-02-28,2526,2390,0,2021-02-28,20,
Antigua and Barbuda,2021-02-28,0,0,0,2021-02-28,28,
Argentina,2021-02-28,1025003,731571,293432,2021-02-28,32,
Australia,2021-02-28,31894,31894,0,2021-02-28,36,
Austria,2021-02-28,694259,449967,244292,2021-02-28,40,
Azerbaijan,2021-02-28,65000,65000,0,2021-02-28,31,
Bahrain,2021-02-28,97776,298171,0,2021-02-28,48,
Bangladesh,2021-02-28,3110525,3110525,0,2021-02-28,50,
Barbados,2021-02-28,38615,38615,0,2021-02-28,52,
Belarus,2021-02-28,20944,20944,0,2021-02-28,112,
Belgium,2021-02-28,855067,523637,331594,2021-02-28,56,
Belize,2021-02-28,0,0,0,2021-02-28,84,
Bolivia,2021-02-28,10167,0,0,2021-02-28,68,
Bosnia and Herzegovina,2021-02-28,0,0,0,2021-02-28,70,
Brazil,2021-02-28,8433568,6518628,1914940,2021-02-28,76,
Bulgaria,2021-02-28,212445,175066,37379,2021-02-28,100,
Burma,2021-02-28,380000,380000,0,2021-02-28,104,
Cambodia,2021-02-28,13101,13101,0,2021-02-28,116,
Canada,2021-02-28,1887059,1362034,525025,2021-02-28,124,
Chile,2021-02-28,3372566,3316276,56290,2021-02-28,152,
China,2021-02-28,52520000,0,0,2021-02-28,156,
Colombia,2021-02-28,130578,0,0,2021-02-28,170,
Costa Rica,2021-02-28,101183,57162,44021,2021-02-28,188,
Croatia,2021-02-28,194267,135756,58511,2021-02-28,191,
Cyprus,2021-02-28,76176,53617,22559,2021-02-28,196,
Czechia,2021-02-28,663963,421168,242795,2021-02-28,203,
Denmark,2021-02-28,611550,427411,184139,2021-02-28,208,
Dominica,2021-02-28,5924,5924,0,2021-02-28,212,
Dominican Republic,2021-02-28,26400,26400,0,2021-02-28,214,
Ecuador,2021-02-28,24492,20784,3708,2021-02-28,218,
Egypt,2021-02-28,1315,1315,0,2021-02-28,818,
El Salvador,2021-02-28,16000,16000,0,2021-02-28,222,
Estonia,2021-02-28,112723,78665,34058,2021-02-28,233,
Finland,2021-02-28,451999,370874,81125,2021-02-28,246,
France,2021-02-28,4662761,3064177,1598584,2021-02-28,250,
Germany,2021-02-28,6324386,4147562,2176824,2021-02-28,276,
Greece,2021-02-28,885821,572174,313647,2021-02-28,300,
Grenada,2021-02-28,3000,3000,0,2021-02-28,308,
Guatemala,2021-02-28,2224,2224,0,2021-02-28,320,
Guyana,2021-02-28,1852,1852,0,2021-02-28,328,
Honduras,2021-02-28,2684,2684,0,2021-02-28,340,
Hungary,2021-02-28,936938,685247,251691,2021-02-28,348,
Iceland,2021-02-28,32157,19593,12564,2021-02-28,352,
India,2021-02-28,14301266,11845075,2456191,2021-02-28,356,
Indonesia,2021-02-28,2690163,1691724,998439,2021-02-28,360,
Iran,2021-02-28,10000,10000,0,2021-02-28,364,
Ireland,2021-02-28,439782,297899,141883,2021-02-28,372,
Israel,2021-02-28,8113691,4717659,3396032,2021-02-28,376,
Italy,2021-02-28,4394352,2970611,1423741,2021-02-28,380,
Japan,2021-02-28,28530,28530,0,2021-02-28,392,
Jordan,2021-02-28,150000,50000,30000,2021-02-28,400,
Kazakhstan,2021-02-28,22294,20157,2137,2021-02-28,398,
Kuwait,2021-02-28,175000,137000,38000,2021-02-28,414,
Latvia,2021-02-28,62979,45920,17059,2021-02-28,428,
Lebanon,2021-02-28,40593,0,0,2021-02-28,422,
Liechtenstein,2021-02-28,2601,1781,820,2021-02-28,438,
Lithuania,2021-02-28,239628,165919,73709,2021-02-28,440,
Luxembourg,2021-02-28,37793,27093,10700,2021-02-28,442,
Malaysia,2021-02-28,3580,3580,0,2021-02-28,458,
Maldives,2021-02-28,111415,111415,0,2021-02-28,462,
Malta,2021-02-28,79624,51576,28048,2021-02-28,470,
Mauritius,2021-02-28,3843,3843,0,2021-02-28,480,
Mexico,2021-02-28,2455095,1889672,565423,2021-02-28,484,
Monaco,2021-02-28,2400,0,0,2021-02-28,492,
Mongolia,2021-02-28,6808,6808,0,2021-02-28,496,
Montenegro,2021-02-28,1288,1288,0,2021-02-28,499,
Morocco,2021-02-28,3597903,3435997,161906,2021-02-28,504,
Nepal,2021-02-28,402264,402264,0,2021-02-28,524,
Netherlands,2021-02-28,1336428,1004757,331671,2021-02-28,528,
New Zealand,2021-02-28,6719,6719,0,2021-02-28,554,
North Macedonia,2021-02-28,0,0,0,2021-02-28,807,
Norway,2021-02-28,501330,336373,164957,2021-02-28,578,
Oman,2021-02-28,67660,48641,19019,2021-02-28,512,
Pakistan,2021-02-28,72882,72882,0,2021-02-28,586,
Panama,2021-02-28,119176,113320,5856,2021-02-28,591,
Paraguay,2021-02-28,1521,1521,0,2021-02-28,600,
Peru,2021-02-28,317639,317639,0,2021-02-28,604,
Philippines,2021-02-28,0,0,0,2021-02-28,608,
Poland,2021-02-28,3336354,2149607,1186747,2021-02-28,616,
Portugal,2021-02-28,880819,610297,270522,2021-02-28,620,
Qatar,2021-02-28,140000,100000,0,2021-02-28,634,
Romania,2021-02-28,1532872,915761,617111,2021-02-28,642,
Russia,2021-02-28,1000000,1000000,0,2021-02-28,643,
Rwanda,2021-02-28,0,0,0,2021-02-28,646,
Saint Kitts and Nevis,2021-02-28,0,0,0,2021-02-28,659,
Saint Lucia,2021-02-28,0,0,0,2021-02-28,662,
San Marino,2021-02-28,35,35,0,2021-02-28,674,
Saudi Arabia,2021-02-28,780667,0,0,2021-02-28,682,
Senegal,2021-02-28,27018,27018,0,2021-02-28,686,
Serbia,2021-02-28,1436682,924683,511999,2021-02-28,688,
Seychelles,2021-02-28,79438,55889,23549,2021-02-28,690,
Singapore,2021-02-28,360000,250000,110000,2021-02-28,702,
Slovakia,2021-02-28,450899,317213,133686,2021-02-28,703,
Slovenia,2021-02-28,176505,124148,52357,2021-02-28,705,
