Date,Close/Last,Volume,Open,High,Low
04/01/2022,$373.47,4644237,$376.8,$380.87,$368.5
03/31/2022,$374.59,4134720,$383.59,$384,$373.61
03/30/2022,$381.47,4023301,$389.55,$392.7,$378.625
03/29/2022,$391.82,5880723,$384.39,$396.5,$380.33
03/28/2022,$378.51,4323435,$375.23,$380.28,$366.73
03/25/2022,$373.85,3575953,$377.07,$377.64,$366.43
03/24/2022,$375.71,3888461,$379.76,$379.76,$368.9
03/23/2022,$374.49,3728954,$379.77,$382.46,$374.49
03/22/2022,$382.92,4242762,$371.14,$386.66,$366.76
03/21/2022,$374.59,4866463,$378.02,$381.82,$368.94
03/18/2022,$380.6,8324825,$372,$381.8,$368.47
03/17/2022,$371.4,5818348,$359.7,$373.31,$354.88
03/16/2022,$357.53,6982469,$348.2,$359.99,$343.06
03/15/2022,$343.75,5460640,$335.1,$345.36,$332.36
03/14/2022,$331.01,5907817,$338.72,$341.32,$329.82
03/11/2022,$340.32,4819925,$361.19,$363.36,$340
03/10/2022,$356.77,4807767,$356.2,$367.02,$353.3
03/09/2022,$358.79,6520186,$357.685,$364.14,$350.5089
03/08/2022,$341.76,6428655,$349.8,$358.86,$340.67
03/07/2022,$350.26,5708383,$360.41,$361.995,$350.2
03/04/2022,$361.73,5329180,$368,$374.8186,$357.17
03/03/2022,$368.07,6076836,$386,$386.12,$364.65
03/02/2022,$380.03,5356809,$388.93,$389.22,$375.21
03/01/2022,$386.24,3290439,$391.6,$395,$383.705
02/28/2022,$394.52,5035046,$387.33,$397.75,$382.13
02/25/2022,$390.8,4841636,$386.61,$391.29,$375.58
02/24/2022,$390.03,7068724,$355.09,$390.73,$354.72
02/23/2022,$367.46,4614290,$382.72,$386,$366.66
02/22/2022,$377.38,6697515,$388.95,$392.42,$373.02
02/18/2022,$391.29,6801668,$392.53,$402.87,$389.0466
02/17/2022,$386.67,4669222,$394.235,$399.11,$385.7
02/16/2022,$398.08,5277650,$401.53,$401.56,$390.3842
02/15/2022,$407.46,5395641,$403.79,$409.1619,$401.01
02/14/2022,$396.57,7202155,$387.59,$409.36,$386.891
02/11/2022,$391.31,7558939,$405.33,$411.6103,$387.65
02/10/2022,$406.27,8452915,$402.1,$408,$396.36
02/09/2022,$412.89,7738227,$408.65,$412.98,$398.79
02/08/2022,$403.53,6818543,$398.18,$406.61,$395.83
02/07/2022,$402.1,8232859,$410.17,$412.35,$393.55
02/04/2022,$410.17,7789798,$407.31,$412.77,$396.6391
02/03/2022,$405.6,9905210,$421.44,$429.26,$404.28
02/02/2022,$429.48,14346010,$448.25,$451.98,$426.48
02/01/2022,$457.13,22568100,$432.96,$458.48,$425.5401
01/31/2022,$427.14,20047450,$401.97,$427.7,$398.2
01/28/2022,$384.36,11966610,$386.76,$387,$372.08
01/27/2022,$386.7,24324750,$382.06,$394.8,$378.1
01/26/2022,$359.7,12683980,$378.27,$382.66,$356.62
01/25/2022,$366.42,15145820,$379.14,$387.71,$365.13
01/24/2022,$387.15,32386780,$383.91,$387.26,$351.46
01/21/2022,$397.5,58904270,$400.425,$409.1499,$379.99
01/20/2022,$508.25,12658990,$517.75,$526.64,$506.93
01/19/2022,$515.86,4353508,$515,$523.21,$510.51
