"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,6.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,6.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,5.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,6.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,7.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,6.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,4.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,5.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,5.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,4.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,4.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,4.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,5.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,5.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,5.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,5.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,5.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,6.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,6.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,6.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,5.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,6.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,6.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,6.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,6.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,6.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,6.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,6.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,5.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,5.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,5.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,5.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,5.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,5.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,5.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,5.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,7.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,13,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,13.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,12.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,10.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,10.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,9.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,9.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,8.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,8.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,9.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,8.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,7.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,7.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,7.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,6.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,6.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,6.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,5.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,1.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,1.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,2.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,2.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,2.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,2.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,2.7,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,2.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,3.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,3.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,3.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,3.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,3.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,2.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,2.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,2.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,2.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,2.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,2.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,2.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,2.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,4.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,4.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,4.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,4.8,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,4.9,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,5.6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,6.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,6.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,6.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,6.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,6,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,5.9,,
